,C1_SW_N_S_N_N_C1_NW,C1_SO_N_S_N_N_C1_NO,C1_WS_NW_NO_C1_OS,C1_WN_NW_NO_C1_ON
2GSM_BISHIS,-1.8813003095442298,-5.541322316722994,6.21787664172673,2.6112687784621498
1CNO,9.198724401764887,13.975502621728335,-9.34896125030856,-17.82099545707305
1GIW,3.993386348380432,5.646093633769742,-5.173563574307518,-3.940636805438524
4MU8,17.59838722848951,12.208281068534486,-14.874036191813813,-20.198418140303225
1FJ0,13.024525116275525,3.055655645547593,-15.077916417759557,-4.657338877803275
1A6G,11.105041357202154,-8.13758280102154,3.2411977549790563,-1.847101483081316
2HPD,4.914675295454274,11.692510703475218,2.434965783977494,-9.973310149426297
1EUE,-0.8316010935946625,-3.9560323730719644,1.0790933578327644,1.561164101727219
1JDL,3.1087555108430767,9.387114924064873,-15.16528408559238,-9.139577062967021
1CMT,-18.94765510589018,1.4168367953487488,6.305416659997438,10.984077812090753
1EBT,15.770743291590636,2.703437266184095,-13.09970837818954,-5.4311760298327645
1HJT,2.4384184848230093,-3.333044655425832,3.9023529612508416,-5.240962939577974
1CCG,-4.970231164892437,-4.183825002754175,11.51065203803454,-3.5153705500583228
1IQC_HIS,22.433577403741356,18.731908413011997,-24.458860183220654,-23.15827569072474
2GSM,2.8514685071017505,-3.5373676646595267,-8.077714408834826,10.298891364566988
1VB6,0.11242173654215468,0.678528331476021,-0.5645664530473332,0.05378697276310164
1CRY,14.17751253672414,7.4480644448888595,-30.221878655309336,5.693695847939582
1DJ1,-1.478099172759126,0.9801723120729067,-2.5947150556834537,1.3000421760280814
3CU4,6.473973751137157,5.812831502642307,-11.813136584554984,-8.297938365050987
1V9Z,-0.29138050183142294,-0.31338489495351357,-0.10240772763846955,1.3392396445619144
1FLP,-5.991659587634464,14.236265708461971,-4.73469365736662,-10.938977125878566
2V07,6.146927403246681,9.57934906739151,-14.782961962144542,-4.5858049841354145
1CYI,13.5635126517024,0.44656597123745423,-22.545269536036894,-9.948406813062782
1IO3,6.611534136882441,17.50818411160929,-17.481225479220186,-6.924816298942905
1ES1,-7.5122045277615594,-7.130936767748133,0.8195618344173127,8.460821359746573
1CYJ,21.510531681169617,0.19072346055226702,-22.108574719466528,-17.276455539248307
1C75,11.705291144599864,3.422768618487028,-6.891260873563793,-8.850136900365122
1FHF,4.360793144271522,-1.7832269938841325,-3.5721839564071347,4.364126752541475
1IQC_HISMET,13.055475250062397,15.864200596873784,-16.423893446317994,-16.4963300469573
1CMQ,-20.135705986025627,4.88157574159557,23.251650448546428,-6.1704297412999844
